datasetCode	typeCode	freqCode	refPeriodId	refYear	refMonth	period	reporterCode	flowCode	partnerCode	partner2Code	classificationSearchCode	classificationCode	isOriginalClassification	cmdCode	customsCode	mosCode	motCode	qtyUnitCode	qty	isQtyEstimated	altQtyUnitCode	altQty	isAltQtyEstimated	netWgt	isNetWgtEstimated	grossWgt	isGrossWgtEstimated	CIFValue	FOBValue	primaryValue	legacyEstimationFlag	isReported	isAggregate
20100202301202100	C	A	20230101	2023	52	2023	100	DX	51	0	HS	H6	1	11	C03	0	3200	-1	0.0	0	-1	0.0	0	0.0	0	0.0	0		4982.402	4982.402	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	M	251	0	HS	H6	1	9615	C20	0	1000	8	23.352	1	-1	0.0	0	23.352	1	0.0	0	288.01		288.01	6	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	XOP	0	0	HS	H6	1	750890	C20	0	0	8	2126.0	0	8	2126.0	0	2126.0	0	0.0	0		43123.514	43123.514	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	DX	288	0	HS	H6	1	94	C03	0	0	-1	0.0	0	-1	0.0	0	0.0	0	0.0	0		14548.084	14548.084	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	X	604	0	HS	H6	1	6106	C03	0	0	5	661.0	0	5	661.0	0	108.0	0	0.0	0		2622.492	2622.492	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	DX	8	0	HS	H6	1	1207	C00	0	3200	8	3000.0	0	8	3000.0	0	3000.0	0	0.0	0		3891.725	3891.725	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	DX	372	0	HS	H6	1	7413	C00	0	3200	8	4099.0	0	8	4099.0	0	4099.0	0	0.0	0		44430.337	44430.337	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	X	792	0	HS	H6	1	844711	C03	0	0	5	216.0	0	5	216.0	0	75700.0	0	0.0	0		3587392.778	3587392.778	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	DX	643	0	HS	H6	1	7326	C03	0	0	8	1615.0	0	8	1615.0	0	1615.0	0	0.0	0		36029.962	36029.962	0	0	1
20100202301202100	C	A	20230101	2023	52	2023	100	M	528	0	HS	H6	1	560122	C20	0	3200	8	19.15	1	-1	0.0	0	19.15	1	0.0	0	1298.531		1298.531	6	1	0
